Photoshop CC 2018 (Ver. 20.0.6),Overall Basic Score,,597.4,Score
Photoshop CC 2018 (Ver. 20.0.6),General Score (8 Bits/Channel),,56.6,Score
Photoshop CC 2018 (Ver. 20.0.6),Filter Score (8 Bits/Channel),,52.6,Score
Photoshop CC 2018 (Ver. 20.0.6),GPU Score (8 Bits/Channel),,32.6,Score
Photoshop CC 2018 (Ver. 20.0.6),Photomerge Score,,80.3,Score
Photoshop CC 2019 (Ver. 20.0.6),RAW File Open (8 Bits/Channel),Best Time,1.73,Seconds
Photoshop CC 2019 (Ver. 20.0.6),Resize to 500MB (8 Bits/Channel),Best Time,11.27,Seconds
Photoshop CC 2019 (Ver. 20.0.6),Rotate (8 Bits/Channel),Best Time,1.13,Seconds
Photoshop CC 2019 (Ver. 20.0.6),Magic Wand Select (8 Bits/Channel),Best Time,17.51,Seconds
Photoshop CC 2019 (Ver. 20.0.6),Mask Refinement (8 Bits/Channel),Best Time,4.28,Seconds
Photoshop CC 2019 (Ver. 20.0.6),Paint Bucket (8 Bits/Channel),Best Time,2.83,Seconds
Photoshop CC 2019 (Ver. 20.0.6),Gradient (8 Bits/Channel),Best Time,0.51,Seconds
Photoshop CC 2019 (Ver. 20.0.6),Content Aware Fill (8 Bits/Channel),Best Time,6.84,Seconds
Photoshop CC 2019 (Ver. 20.0.6),PSD File Save (8 Bits/Channel),Best Time,5.83,Seconds
Photoshop CC 2019 (Ver. 20.0.6),PSD File Open (8 Bits/Channel),Best Time,3.74,Seconds
Photoshop CC 2019 (Ver. 20.0.6),Camera Raw Filter (8 Bits/Channel),Best Time,8.11,Seconds
Photoshop CC 2019 (Ver. 20.0.6),Lens Correction (8 Bits/Channel),Best Time,16.52,Seconds
Photoshop CC 2019 (Ver. 20.0.6),Reduce Noise (8 Bits/Channel),Best Time,25.17,Seconds
Photoshop CC 2019 (Ver. 20.0.6),Smart Sharpen (8 Bits/Channel),Best Time,101.1,Seconds
Photoshop CC 2019 (Ver. 20.0.6),Field Blur (8 Bits/Channel),Best Time,34.83,Seconds
Photoshop CC 2019 (Ver. 20.0.6),Tilt-Shift Blur (8 Bits/Channel),Best Time,22.57,Seconds
Photoshop CC 2019 (Ver. 20.0.6),Iris Blur (8 Bits/Channel),Best Time,32.99,Seconds
Photoshop CC 2019 (Ver. 20.0.6),Adaptive Wide Angle (8 Bits/Channel),Best Time,32.01,Seconds
Photoshop CC 2019 (Ver. 20.0.6),Liquify (8 Bits/Channel),Best Time,5.51,Seconds
Photoshop CC 2019 (Ver. 20.0.6),Photomerge 22MP Images,Best Time,83.28,Seconds
Photoshop CC 2019 (Ver. 20.0.6),Photomerge 45MP Images,Best Time,120.25,Seconds
